Model,Accuracy,Precision,Recall,F1 Score,Training Time,Prediction Time
Gradient Boosting,0.7953091684434968,0.6378205128205128,0.5320855614973262,0.5801749271137027,0.8683414999995875,0.00243640000007872
LightGBM,0.7853589196872779,0.6071428571428571,0.5454545454545454,0.5746478873239437,1.6415557999989687,0.006720600000335253
AdaBoost,0.7953091684434968,0.6482758620689655,0.5026737967914439,0.5662650602409639,0.2727584999993269,0.01299979999930656
Stacking,0.7938877043354655,0.6458333333333334,0.49732620320855614,0.5619335347432024,9.38649980000082,0.05628500000057102
CatBoost,0.7839374555792467,0.610062893081761,0.5187165775401069,0.5606936416184971,4.69859390000056,0.004816099999516155
Random Forest,0.7867803837953091,0.6217105263157895,0.5053475935828877,0.5575221238938053,0.5518186000008427,0.027691999999660766
XGBoost,0.7711442786069652,0.5760233918128655,0.5267379679144385,0.5502793296089385,0.16510600000037812,0.01229810000040743
Extra Trees,0.7746979388770433,0.5928338762214984,0.48663101604278075,0.5345080763582967,0.516692500001227,0.03296580000096583
Decision Tree,0.7114427860696517,0.45675675675675675,0.45187165775401067,0.4543010752688172,0.07711829999971087,0.002381700000114506
