iter	Logloss
372	0.3607453516
373	0.3606488645
374	0.3605520391
375	0.3603846403
376	0.360266078
377	0.3601103311
378	0.3598664326
379	0.3597774388
380	0.3596903691
381	0.3596066223
382	0.3594323751
383	0.359262707
384	0.3592012247
385	0.3590738569
386	0.3588384833
387	0.3587151996
388	0.3585848802
389	0.3584656059
390	0.3583601295
391	0.3582485363
392	0.3581249946
393	0.3579945504
394	0.3579109917
395	0.3577855455
396	0.3576141522
397	0.3575570955
398	0.3574844824
399	0.3573513631
400	0.3571663117
401	0.3570710326
402	0.3570536745
403	0.3569250209
404	0.3567906029
405	0.3565911312
406	0.3565350446
407	0.3564192432
408	0.3563005999
409	0.3561507992
410	0.3559825413
411	0.3558759473
412	0.3557606044
413	0.3556033963
414	0.355524779
415	0.3553737907
416	0.3551933999
417	0.3551137293
418	0.3550565792
419	0.354938379
420	0.3548036288
421	0.3546195151
422	0.3545649219
423	0.3543539412
424	0.3542887238
425	0.3540926218
426	0.3539519232
427	0.3538083339
428	0.353720041
429	0.3535091818
430	0.3533591927
431	0.3531773483
432	0.3530440292
433	0.3529668123
434	0.3528528479
435	0.3527207309
436	0.3526257595
437	0.3525710582
438	0.352442201
439	0.3523165459
440	0.3521963716
441	0.3520199271
442	0.3519166389
443	0.3517741367
444	0.3516509641
445	0.3515607481
446	0.3514930131
447	0.35136101
448	0.3511882702
449	0.3510433439
450	0.3508561534
451	0.3507130724
452	0.3506203995
453	0.3504676645
454	0.3504079972
455	0.3503091256
456	0.3501709428
457	0.3500924759
458	0.3500364541
459	0.3499005203
460	0.3497320521
461	0.3494848428
462	0.3493715918
463	0.3492493387
464	0.3491798515
465	0.3490613096
466	0.3489308594
467	0.3487553709
468	0.3486867716
469	0.3486216641
470	0.3485061889
471	0.3484546615
472	0.3483453024
473	0.3481656903
474	0.3480858019
475	0.3479274009
476	0.3477915029
477	0.347660489
478	0.3475605133
479	0.347484205
480	0.347293473
481	0.3471522599
482	0.3470184935
483	0.3469165835
484	0.3467660622
485	0.3466558519
486	0.3465604693
487	0.3465137266
488	0.3464559212
489	0.3463814685
490	0.3462844647
491	0.346221461
492	0.3461236661
493	0.3460544271
494	0.3459993775
495	0.3458772122
496	0.3457850307
497	0.3456295179
498	0.3455368402
499	0.3453718063
500	0.3451981536
501	0.3450522357
502	0.3448910658
503	0.3447371524
504	0.3446541378
505	0.3445463849
506	0.3444679299
507	0.3443537996
508	0.3442016691
509	0.3440632679
510	0.3439474894
511	0.3438140222
512	0.343707989
513	0.3436047674
514	0.3434595014
515	0.3432984244
516	0.3431532287
517	0.3430678202
518	0.3429312849
519	0.3428610384
520	0.3427171192
521	0.3426227496
522	0.3424836642
523	0.3423398137
524	0.3422027722
525	0.3420978762
526	0.3419882542
527	0.3418534289
528	0.3417647045
529	0.3416506212
530	0.3415215026
531	0.3414322157
532	0.3413865704
533	0.3412961076
534	0.3411363976
535	0.3410337914
536	0.3408973939
537	0.3408298556
538	0.3407483092
539	0.3406263196
540	0.340540877
541	0.3404578666
542	0.3403490992
543	0.3402646009
544	0.3401284694
545	0.3400132916
546	0.3398686017
547	0.3397726312
548	0.3397265044
549	0.3395507297
550	0.3393866537
551	0.3392480919
552	0.3390983059
553	0.3389584856
554	0.3388668574
555	0.3387339735
556	0.3386501668
557	0.3385463212
558	0.3384580649
559	0.3384106715
560	0.3383029251
561	0.3381006433
562	0.3379861274
563	0.3378358325
564	0.3377354858
565	0.3376433538
566	0.3374655289
567	0.337299261
568	0.3371369138
569	0.3370275569
570	0.3368713585
571	0.3367867538
572	0.3366641044
573	0.3365727214
574	0.3364935469
575	0.3363992768
576	0.336280773
577	0.3362353349
578	0.3361769532
579	0.3360941827
580	0.3360106535
581	0.3359058142
582	0.3358087525
583	0.3356798475
584	0.3355965009
585	0.3354578723
586	0.3353128716
587	0.3351061503
588	0.3349672249
589	0.3348620075
590	0.3347306342
591	0.3346481177
592	0.3345695548
593	0.3344208616
594	0.3343639573
595	0.3342857031
596	0.3341530718
597	0.3340514667
598	0.3339629464
599	0.3338359363
600	0.3337044576
601	0.3336453527
602	0.3335736686
603	0.3334993444
604	0.3333894019
605	0.3332260516
606	0.3331805527
607	0.3330620413
608	0.332894504
609	0.332764536
610	0.3326873373
611	0.3325952843
612	0.3324823946
613	0.3323706987
614	0.3323117544
615	0.3321949213
616	0.3321040146
617	0.3320223318
618	0.3319087036
619	0.3318476501
620	0.3316641802
621	0.3315749012
622	0.3315206123
623	0.3314264824
624	0.331341106
625	0.3311696213
626	0.3310703339
627	0.3309075464
628	0.330834675
629	0.3307358101
630	0.3306064846
631	0.3305004845
632	0.3303942018
633	0.3302979898
634	0.3301964418
635	0.3300507103
636	0.3299380964
637	0.3298501024
638	0.3297296881
639	0.3295754951
640	0.3294356581
641	0.3293371136
642	0.32921516
643	0.3291388119
644	0.3290386069
645	0.328896694
646	0.3287954257
647	0.3286757455
648	0.3285754176
649	0.3285032541
650	0.3284119762
651	0.3283332801
652	0.3281610337
653	0.328034348
654	0.3279086093
655	0.3278438407
656	0.3277476537
657	0.3276230033
658	0.3275495671
659	0.3274986537
660	0.3273786424
661	0.3273116364
662	0.3271964263
663	0.3270898548
664	0.3270466381
665	0.3269408431
666	0.3268469702
667	0.3267256344
668	0.3266708913
669	0.3266187636
670	0.3265371962
671	0.3264153911
672	0.326325021
673	0.3261632335
674	0.3261037448
675	0.3260211305
676	0.3259784094
677	0.3259260624
678	0.3258044032
679	0.3257654056
680	0.3257236621
681	0.3255921204
682	0.3254861448
683	0.3253811516
684	0.3252717807
685	0.3251108958
686	0.3250763702
687	0.3249962771
688	0.3249077844
689	0.3247826454
690	0.3246576659
691	0.3245648817
692	0.3244155964
693	0.3243138445
694	0.3241552064
695	0.3240927358
696	0.3240338409
697	0.3239280548
698	0.3238271909
699	0.3237141901
700	0.3235916851
701	0.3234580594
702	0.3234054894
703	0.3233356486
704	0.3232151117
705	0.323171555
706	0.3230152211
707	0.3229069492
708	0.3228401037
709	0.3227878866
710	0.3226856986
711	0.3226405149
712	0.3224885176
713	0.3223879188
714	0.3222285826
715	0.3220652291
716	0.3219072976
717	0.3217873338
718	0.3216867942
719	0.3216196989
720	0.3215426755
721	0.3214795935
722	0.3213520558
723	0.3213026694
724	0.3211837023
725	0.3210948828
726	0.3210069516
727	0.3209168438
728	0.3208806277
729	0.3208377158
730	0.3207359418
731	0.3206213623
732	0.3205039075
733	0.3203503236
734	0.320226376
735	0.3201012524
736	0.3199895005
737	0.319888391
738	0.3198044949
739	0.3196828058
740	0.3196482041
741	0.3195743668
742	0.3195237258
743	0.3194226146
744	0.319332425
745	0.319240655
746	0.3191761179
747	0.3190790228
748	0.3189858527
749	0.3189195955
750	0.3188213629
751	0.3187159824
752	0.3185656918
753	0.3185181918
754	0.3183930597
755	0.3183570524
756	0.3182563604
757	0.318141395
758	0.318022172
759	0.3178821419
760	0.3177362411
761	0.3176866705
762	0.3175940232
763	0.3174944995
764	0.3173921141
765	0.3173040276
766	0.3171914281
767	0.3171374323
768	0.3170784011
769	0.316945067
770	0.3168327824
771	0.3167134538
772	0.3166323313
773	0.3165333321
774	0.3164553107
775	0.3163678425
776	0.3162522461
777	0.3161850287
778	0.3161281465
779	0.3160774666
780	0.3159838867
781	0.3159001162
782	0.3158511756
783	0.3157596388
784	0.3156562364
785	0.315569674
786	0.3154578959
787	0.3153627743
788	0.315335822
789	0.3152592602
790	0.3152126285
791	0.3150794486
792	0.3149917683
793	0.3149219992
794	0.314839347
795	0.3147416645
796	0.3145989855
797	0.3145040741
798	0.3143600434
799	0.3143205355
800	0.3142748974
801	0.314172181
802	0.3141162629
803	0.3140414646
804	0.3139809142
805	0.3139129594
806	0.3138291068
807	0.3137395617
808	0.3136780375
809	0.3136504961
810	0.3135530809
811	0.3135092013
812	0.3133592547
813	0.3132215671
814	0.3131383526
815	0.3130133749
816	0.3129487
817	0.3128289164
818	0.3127234814
819	0.3126516319
820	0.3125737041
821	0.3124657915
822	0.312328624
823	0.3122394837
824	0.3121942856
825	0.3121505138
826	0.3120143761
827	0.3119164432
828	0.3118169018
829	0.3117360847
830	0.311657432
831	0.3115889857
832	0.3114669649
833	0.3113869882
834	0.3113030304
835	0.3112433682
836	0.3112048493
837	0.3111125542
838	0.3110146378
839	0.3109491589
840	0.3109163303
841	0.3108467744
842	0.3107721952
843	0.3106827693
844	0.31054515
845	0.3104363594
846	0.3103927872
847	0.3103103138
848	0.3102135269
849	0.3101814589
850	0.3100858029
851	0.3100276248
852	0.3099289792
853	0.309868975
854	0.3098128788
855	0.3096922496
856	0.3096326802
857	0.3095908628
858	0.3094597156
859	0.3093898588
860	0.3093095345
861	0.3092310205
862	0.3091118025
863	0.3090478032
864	0.3089818278
865	0.3088925453
866	0.3087786365
867	0.3086333193
868	0.3085341061
869	0.3084656506
870	0.308424313
871	0.3083152857
872	0.3082773049
873	0.308128896
874	0.308028766
875	0.3079739451
876	0.307899982
877	0.3078366323
878	0.3077653201
879	0.3077125574
880	0.307585879
881	0.3074970899
882	0.3074479493
883	0.3073902009
884	0.3072688876
885	0.3071791228
886	0.3070434901
887	0.3069158965
888	0.3067892363
889	0.3067701413
890	0.3066584107
891	0.3066145635
892	0.3065635155
893	0.3064699119
894	0.3063451567
895	0.3062065222
896	0.3061436478
897	0.3060458292
898	0.3059650823
899	0.3058992963
900	0.3057971458
901	0.3056615433
902	0.3055367312
903	0.3054596477
904	0.3053625662
905	0.3052387783
906	0.3051513375
907	0.3050757225
908	0.305016709
909	0.3049691361
910	0.3049148791
911	0.3048830423
912	0.3047662154
913	0.3047062081
914	0.3046422808
915	0.3045542316
916	0.3044899931
917	0.3044582222
918	0.3044157861
919	0.3043470807
920	0.3042732624
921	0.3041773701
922	0.3040474965
923	0.3039301934
924	0.3038518273
925	0.3037461438
926	0.3036145059
927	0.3035841237
928	0.3035069777
929	0.3033762438
930	0.3033095976
931	0.3031834935
932	0.3031199432
933	0.3030674239
934	0.3029638134
935	0.3028957582
936	0.3028345994
937	0.3028039999
938	0.3027057911
939	0.3026708081
940	0.3025584739
941	0.3024697736
942	0.3024048568
943	0.3023013213
944	0.3022256069
945	0.302171137
946	0.3020994423
947	0.3020266585
948	0.3019876859
949	0.3018516222
950	0.3018219563
951	0.3017804076
952	0.3017390313
953	0.3016710886
954	0.3015898145
955	0.3014997854
956	0.3014596747
957	0.3013711536
958	0.3013345619
959	0.3012827445
960	0.3011914009
961	0.3011137899
962	0.3009948853
963	0.3009229992
964	0.3008824948
965	0.300840826
966	0.3007417032
967	0.3006804754
968	0.300575815
969	0.3004660476
970	0.3004026289
971	0.3002871488
972	0.3001646763
973	0.3001099595
974	0.3000458087
975	0.2999712794
976	0.2999194153
977	0.2998511922
978	0.2997835082
979	0.2996938508
980	0.2995775686
981	0.299506289
982	0.2994501181
983	0.2993836006
984	0.2993257149
985	0.2992559149
986	0.2991837062
987	0.2991021747
988	0.299063819
989	0.2989355907
990	0.298861117
991	0.298767818
992	0.2987175169
993	0.2985975254
994	0.2984964533
995	0.2984463017
996	0.2983836714
997	0.2983127499
998	0.298250133
999	0.298164748
